cubic, westwood, bbr, scalable, bic, highspeed, htcp, hybla, illinois, vegas, yeah, reno
87.7513504, 87.84390256, 89.04285432, 89.44665528, 88.09598544, 88.71041104, 89.51690672, 89.60388944, 89.34587096, 87.92790984, 88.19297024, 89.64517976
86.5809708, 89.75229648, 88.79129792, 88.24952696, 87.39398192, 89.5169296, 88.37298584, 89.44306184, 89.6171112, 86.27607728, 89.0671692, 89.69328312
89.7067032, 89.74208832, 88.95438384, 88.7019272, 87.84774016, 89.75272368, 88.61062624, 86.67053984, 88.99819944, 85.73928832, 88.43348696, 89.72602848
89.73756408, 89.74188232, 89.04507448, 88.69368744, 88.5574036, 89.56631472, 88.81704712, 89.6008072, 89.00107576, 87.45103456, 89.72146608, 89.73352048
89.74115752, 89.7249756, 89.03253176, 88.88014984, 88.64199064, 87.2152252, 80.7416, 89.65088656, 89.52650448, 87.10366824, 89.72946928, 89.67668152
87.90830232, 89.63230896, 88.99772648, 89.12454984, 88.565712, 89.42004392, 79.51269531, 89.67735288, 89.38977048, 84.33349608, 89.73520664, 89.68367008
88.43891144, 89.70751192, 88.66690824, 88.47576904, 89.7545776, 89.75326536, 81.860054, 89.69288632, 87.237442, 86.56989288, 87.993042, 86.68234256
84.8543472, 89.69147488, 88.96153256, 87.99988552, 89.49784088, 87.29203032, 71.51303101, 89.214798, 89.60027312, 83.58992008, 89.62753296, 89.30503848
89.712944, 89.36637112, 88.9732056, 88.9302368, 88.30764768, 89.2228088, 86.11468504, 89.56396488, 89.56620792, 86.72057344, 89.29603576, 86.5679016
88.65660856, 89.2647324, 88.23052976, 88.84807584, 89.73831176, 89.74770352, 81.16130064, 86.82087704, 89.6571808, 86.92372896, 88.4041672, 88.31698608
89.74317936, 89.74685672, 88.95623016, 89.26288608, 89.53855136, 89.289444, 85.79376224, 85.10494232, 88.54520416, 87.74559784, 88.02328488, 86.2348404
88.3426056, 89.67189792, 88.82801816, 88.29804992, 89.55849456, 88.44257352, 89.54238128, 89.6531372, 89.05126952, 85.20626832, 89.66643528, 89.74022672
87.06159976, 89.6392136, 89.00418856, 87.90465544, 89.72079464, 89.13861848, 89.73085784, 89.70222472, 89.1271744, 87.17528536, 89.53559112, 89.17459104
88.63845824, 87.77358248, 89.03922272, 87.77557376, 88.07446288, 86.7322388, 89.7005844, 89.57504272, 89.66147616, 87.05050656, 89.11702728, 89.36350248
86.55681608, 89.7394104, 89.05146024, 87.75056456, 85.64312744, 85.08823392, 89.07196048, 89.48368832, 89.70896912, 82.58412168, 89.7135544, 89.74519352
84.5796356, 89.60144808, 89.03610992, 88.64002224, 89.46472928, 84.26279448, 89.45345304, 87.30882264, 89.62768552, 84.58497616, 89.71343232, 88.59201048
88.4189148, 89.53338624, 87.93879696, 88.14156344, 89.069046, 83.23561096, 88.2644272, 89.70547488, 89.73446656, 86.85399624, 89.6916504, 89.7259064
